Current Loan Amount,Credit Score,Annual Income,Years in current job,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Given
152394.0,670.0,1425437.0,0,1,11058.95,11.2,20.0,9.0,0.0,92055.0,304568.0,0.0,0.0,False
323510.0,725.0,3259507.0,0,0,24446.16,14.6,43.0,8.0,0.0,174971.0,512886.0,0.0,0.0,False
219516.0,734.0,663537.0,10,0,10340.18,25.8,44.0,7.0,0.0,181450.0,327250.0,0.0,0.0,False
66880.0,645.0,1347822.0,3,0,775.01,9.4,28.0,4.0,0.0,3116.0,31152.0,0.0,0.0,False
359612.0,691.0,1321621.0,2,0,11564.16,10.5,29.0,10.0,0.0,1748.0,290444.0,0.0,0.0,True
217228.0,701.0,1722825.0,7,0,7077.88,11.2,32.0,6.0,0.0,61655.0,261514.0,0.0,0.0,False
65604.0,715.0,1303267.0,1,2,17485.51,16.4,66.0,14.0,0.0,214434.0,323730.0,0.0,0.0,True
154000.0,734.0,988000.0,1,4,15149.27,15.5,11.0,15.0,0.0,88939.0,145244.0,0.0,0.0,True
130834.0,730.0,625613.0,0,4,9592.91,10.2,6.0,13.0,0.0,50996.0,218724.0,0.0,0.0,True
603020.0,604.0,1303134.0,2,1,13139.83,17.2,6.0,11.0,0.0,135337.0,404954.0,0.0,0.0,False
157322.0,726.0,1854970.0,5,0,20713.8,16.7,21.0,11.0,0.0,40451.0,195206.0,0.0,0.0,True
143594.0,728.0,467970.0,10,0,2378.8,22.6,10.0,18.0,1.0,39558.0,289850.0,1.0,0.0,True
219472.0,730.0,1175169.0,10,0,10380.84,16.2,31.0,13.0,1.0,221977.0,384186.0,1.0,0.0,True
210628.0,694.0,701100.0,10,0,11159.27,14.0,29.0,10.0,0.0,102904.0,236896.0,0.0,0.0,False
780318.0,648.0,767750.1,6,3,62827.49,21.4,18.0,14.0,0.0,101644.3,1627846.0,0.0,0.0,False
416328.0,706.0,904799.0,3,1,4772.8,11.5,18.0,7.0,0.0,166326.0,429880.0,0.0,0.0,True
543246.0,745.0,2158134.0,10,0,48737.66,30.4,31.0,14.0,0.0,319694.0,616968.0,0.0,0.0,True
472714.0,720.0,1670157.0,0,0,25330.8,13.5,20.0,7.0,0.0,346009.0,408386.0,0.0,0.0,True
52558.0,743.0,1172813.0,4,0,22478.9,14.6,27.0,21.0,1.0,82935.0,578468.0,1.0,0.0,True
240152.0,710.0,1093621.0,3,0,13542.63,22.0,17.0,11.0,1.0,49628.0,111364.0,0.0,0.0,True
765006.0,685.0,1519563.0,10,0,14942.17,16.1,32.0,10.0,0.0,289351.0,509190.0,0.0,0.0,False
104280.0,735.0,425467.0,10,4,8417.19,28.9,27.0,4.0,0.0,0.0,0.0,0.0,0.0,True
173404.0,710.0,1684692.0,1,1,6219.27,13.1,61.0,9.0,2.0,1786.0,257378.0,0.0,0.0,True
274362.0,716.0,924673.0,10,0,9554.91,17.6,39.0,6.0,0.0,50388.0,129382.0,0.0,0.0,True
30536.0,747.0,649800.0,2,3,5848.2,9.7,30.0,4.0,0.0,6669.0,94138.0,0.0,0.0,True
55880.0,732.0,1988312.0,2,4,34961.14,15.7,29.0,11.0,0.0,105032.0,140756.0,0.0,0.0,True
176396.0,719.0,761672.0,4,0,1758.07,21.0,25.0,3.0,0.0,703.0,29128.0,0.0,0.0,True
148984.0,686.0,958626.0,6,2,1845.47,22.3,40.0,6.0,0.0,55461.0,133496.0,0.0,0.0,True
216678.0,714.0,785954.0,9,0,14998.6,20.6,33.0,10.0,0.0,80142.0,282062.0,0.0,0.0,True
202400.0,738.0,738036.0,9,2,10953.5,22.5,78.0,11.0,0.0,76497.8,1449712.0,0.0,0.0,True
270468.0,719.0,729961.0,4,5,4124.33,10.6,29.0,17.0,0.0,126331.0,270380.0,0.0,0.0,False
347248.0,739.0,1593207.0,10,0,278.92,24.0,32.0,2.0,0.0,5510.0,708972.0,0.0,0.0,True
153934.0,725.0,1196411.0,10,0,8165.63,15.2,40.0,6.0,0.0,95228.0,171490.0,0.0,0.0,True
778404.0,727.0,2881065.0,10,1,9507.6,42.2,19.0,5.0,2.0,331968.0,427086.0,0.0,2.0,True
439164.0,745.0,1264279.0,10,2,7817.55,16.6,56.0,6.0,0.0,164901.0,285846.0,0.0,0.0,True
75966.0,723.0,412433.0,10,3,5499.17,15.7,60.0,5.0,0.0,63061.0,115016.0,0.0,0.0,False
428054.0,726.0,1658852.0,10,0,30135.52,23.4,18.0,13.0,0.0,528846.0,805706.0,0.0,0.0,True
769626.0,716.0,2848575.0,0,0,23263.41,31.5,10.0,14.0,0.0,371051.0,1053052.0,0.0,0.0,True
337238.0,734.0,1456217.0,3,1,18566.61,9.3,32.0,5.0,0.0,327218.0,669416.0,0.0,0.0,True
336314.0,742.0,2904435.0,10,0,13311.97,31.4,42.0,4.0,1.0,20140.0,62854.0,1.0,0.0,True
224180.0,721.0,1878017.0,8,0,24101.12,20.5,27.0,10.0,1.0,95988.0,500654.0,1.0,0.0,True
92796.0,714.0,476235.0,2,3,9127.79,9.2,22.0,5.0,0.0,22952.0,136994.0,0.0,0.0,True
89606.0,740.0,1119271.0,8,0,15613.82,16.5,5.0,10.0,0.0,69711.0,373692.0,0.0,0.0,True
67408.0,723.0,2522364.0,10,0,34892.55,14.0,19.0,5.0,0.0,75342.6,875908.0,0.0,0.0,False
331826.0,735.0,955225.0,5,1,16278.63,10.6,16.0,4.0,0.0,67203.0,293656.0,0.0,0.0,True
153450.0,722.0,1094248.0,6,0,16413.72,23.0,62.0,16.0,1.0,89889.0,981882.0,0.0,0.0,False
236786.0,707.0,1938380.0,10,1,32306.46,23.1,23.0,13.0,0.0,95932.9,1203466.0,0.0,0.0,False
543906.0,693.0,1691019.0,5,4,38752.59,20.4,71.0,11.0,6.0,116014.0,681934.0,2.0,4.0,False
697884.0,686.0,1374935.0,2,4,16040.94,11.2,41.0,5.0,0.0,306869.0,422994.0,0.0,0.0,True
261778.0,715.0,1030199.0,2,3,14680.35,15.7,32.0,8.0,0.0,9538.0,37576.0,0.0,0.0,True
98582.0,742.0,793250.0,10,1,5030.63,16.9,16.0,4.0,0.0,40128.0,94050.0,0.0,0.0,False
262372.0,723.0,2530211.0,10,0,35633.93,19.7,9.0,12.0,0.0,91276.0,205634.0,0.0,0.0,False
175890.0,743.0,3740758.0,2,0,48629.74,18.5,2.0,16.0,0.0,322088.0,800294.0,0.0,0.0,True
208296.0,707.0,787075.0,5,2,3410.69,19.8,3.0,8.0,0.0,104367.0,164868.0,0.0,0.0,True
265870.0,703.0,765396.0,1,0,11225.96,19.6,34.0,13.0,0.0,208563.0,316932.0,0.0,0.0,False
136422.0,713.0,1158810.0,0,2,11395.06,10.3,38.0,4.0,0.0,41382.0,96228.0,0.0,0.0,True
79376.0,731.0,906471.0,10,0,6458.67,16.1,47.0,6.0,0.0,435271.0,562496.0,0.0,0.0,True
563706.0,728.0,1849954.0,1,0,23278.61,25.5,48.0,11.0,0.0,571634.0,946924.0,0.0,0.0,True
218130.0,740.0,626373.0,4,3,6211.48,17.0,27.0,6.0,0.0,90421.0,132198.0,0.0,0.0,True
301510.0,726.0,3452832.0,10,1,43505.63,21.5,13.0,9.0,0.0,0.0,0.0,0.0,0.0,True
431222.0,748.0,854430.0,5,3,833.15,14.5,16.0,11.0,0.0,6175.0,649132.0,0.0,0.0,True
108482.0,727.0,1124116.0,10,0,17330.09,12.5,17.0,11.0,0.0,9937.0,126346.0,0.0,0.0,True
436832.0,706.0,949943.0,6,0,752.02,13.0,43.0,6.0,0.0,27322.0,250998.0,0.0,0.0,True
155386.0,691.0,421762.0,3,0,7310.44,14.0,47.0,9.0,0.0,87419.0,326524.0,0.0,0.0,True
276628.0,646.0,2230980.0,10,0,37926.66,15.8,70.0,24.0,1.0,55062.0,574442.0,1.0,0.0,True
221320.0,660.0,764560.0,8,3,23956.15,13.8,8.0,10.0,1.0,67108.0,301202.0,1.0,0.0,True
54692.0,731.0,753939.0,5,2,7979.24,16.2,13.0,5.0,0.0,42655.0,148742.0,0.0,0.0,False
119944.0,728.0,1112697.0,10,0,12425.05,14.0,45.0,16.0,0.0,101517.0,833712.0,0.0,0.0,True
655842.0,662.0,2265636.0,10,1,14669.9,18.2,14.0,15.0,0.0,541842.0,1272612.0,0.0,0.0,False
177386.0,738.0,1972466.0,10,0,16601.63,25.2,68.0,7.0,1.0,124146.0,221848.0,1.0,0.0,True
768856.0,693.0,1328005.0,3,0,11509.44,12.1,28.0,10.0,0.0,8531.0,120560.0,0.0,0.0,False
784014.0,706.0,1257477.0,10,4,31646.4,16.9,23.0,16.0,0.0,69825.0,594440.0,0.0,0.0,False
273174.0,640.0,1217102.0,4,0,15213.68,13.5,70.0,11.0,1.0,131290.0,355190.0,0.0,0.0,False
258676.0,739.0,1675458.0,5,0,21781.03,19.8,36.0,7.0,0.0,124070.0,173712.0,0.0,0.0,True
173294.0,738.0,906433.0,5,0,9593.1,14.5,70.0,10.0,1.0,34903.0,137918.0,1.0,0.0,True
463672.0,720.0,2319634.0,10,0,25902.51,22.5,16.0,15.0,0.0,79214.8,1511048.0,0.0,0.0,True
21956.0,742.0,1100233.0,8,4,13019.37,18.4,28.0,11.0,0.0,151696.0,355564.0,0.0,0.0,True
522148.0,652.0,1878910.0,10,0,19572.09,21.1,38.0,14.0,0.0,226290.0,591470.0,0.0,0.0,False
178596.0,741.0,1156872.0,10,0,19474.05,19.0,81.0,19.0,0.0,628311.0,981816.0,0.0,0.0,True
441320.0,736.0,1333990.0,5,1,20565.79,34.2,39.0,22.0,0.0,110542.0,1084776.0,0.0,0.0,True
149974.0,691.0,977645.0,4,0,4774.32,9.8,21.0,3.0,0.0,32718.0,51260.0,0.0,0.0,True
213246.0,742.0,460427.0,5,3,9899.19,8.5,20.0,5.0,0.0,16511.0,71104.0,0.0,0.0,True
87648.0,672.0,1349950.0,7,1,20249.25,16.9,9.0,5.0,0.0,9728.0,64680.0,0.0,0.0,False
332816.0,743.0,1667060.0,1,0,9002.01,18.6,29.0,15.0,0.0,240749.0,1171258.0,0.0,0.0,True
507430.0,655.0,1630637.0,0,1,3274.84,14.0,21.0,6.0,0.0,18411.0,147972.0,0.0,0.0,False
32714.0,744.0,1299334.0,9,0,26419.69,16.1,64.0,21.0,0.0,126559.0,970508.0,0.0,0.0,True
648714.0,743.0,2184981.0,10,0,11343.76,20.2,28.0,18.0,0.0,135223.0,1294040.0,0.0,0.0,True
753060.0,678.0,2136930.0,7,0,34903.19,28.4,4.0,8.0,0.0,532494.0,983356.0,0.0,0.0,True
87516.0,724.0,2834325.0,6,0,37082.49,15.7,32.0,9.0,0.0,71896.0,297308.0,0.0,0.0,True
462000.0,712.0,1425000.0,3,0,14487.5,16.0,47.0,22.0,0.0,121657.0,833536.0,0.0,0.0,True
661716.0,705.0,1904940.0,7,0,41273.7,16.2,7.0,14.0,0.0,152266.0,330154.0,0.0,0.0,True
404470.0,692.0,1455495.0,8,4,715.73,18.2,24.0,3.0,0.0,3439.0,104676.0,0.0,0.0,True
108922.0,738.0,1034664.0,3,0,2862.54,20.1,33.0,9.0,0.0,145369.0,524414.0,0.0,0.0,True
131692.0,731.0,3867089.0,10,4,48660.9,13.8,3.0,19.0,0.0,265278.0,1133418.0,0.0,0.0,False
392150.0,711.0,1091303.0,3,0,7411.9,28.8,72.0,9.0,1.0,30666.0,265012.0,1.0,0.0,True
334928.0,705.0,2738204.0,7,4,29207.56,30.8,46.0,14.0,0.0,338561.0,632280.0,0.0,0.0,True
756382.0,657.0,2631576.0,10,0,30043.94,15.2,32.0,12.0,0.0,214914.7,454104.2,0.0,0.0,False
544896.0,663.0,941165.0,8,0,13960.63,12.6,16.0,13.0,0.0,122398.0,464640.0,0.0,0.0,True
379698.0,644.0,738188.0,1,0,4712.0,10.2,11.0,12.0,0.0,43339.0,120648.0,0.0,0.0,False
131670.0,708.0,600077.0,7,0,3790.31,22.3,47.0,6.0,0.0,103911.0,187990.0,0.0,0.0,False
448096.0,683.0,1760730.0,10,4,13235.02,19.5,21.0,7.0,0.0,155572.0,226314.0,0.0,0.0,False
660528.0,691.0,1901520.0,8,0,29315.1,22.8,20.0,8.0,0.0,39881.0,90354.0,0.0,0.0,True
124982.0,745.0,1115433.0,8,4,1635.9,20.7,36.0,4.0,0.0,80845.0,490072.0,0.0,0.0,True
66418.0,742.0,1529424.0,8,0,10884.34,22.9,60.0,10.0,1.0,86678.0,290070.0,1.0,0.0,True
111474.0,705.0,1578881.0,7,3,21314.77,17.6,15.0,15.0,1.0,40869.0,487960.0,1.0,0.0,True
647064.0,670.0,1955898.0,10,3,6796.87,16.0,74.0,5.0,0.0,361171.0,705210.0,0.0,0.0,True
773168.0,664.0,1452645.0,10,2,28568.78,16.2,12.0,10.0,0.0,77884.8,1250810.0,0.0,0.0,False
667062.0,726.0,2976521.0,10,0,22670.99,17.8,56.0,7.0,0.0,276583.0,825396.0,0.0,0.0,True
218504.0,735.0,1094514.0,10,0,10580.34,14.5,24.0,17.0,0.0,126882.0,992706.0,0.0,0.0,True
218922.0,685.0,623922.0,10,0,7279.09,16.3,10.0,7.0,0.0,8037.0,145376.0,0.0,0.0,False
152108.0,697.0,591945.0,5,0,10433.09,11.2,35.0,7.0,0.0,77273.0,128194.0,0.0,0.0,True
337700.0,707.0,845766.0,5,0,13884.63,10.4,20.0,12.0,0.0,161215.0,455290.0,0.0,0.0,True
156288.0,606.0,2272761.0,5,6,27651.84,21.5,31.0,12.0,5.0,112138.0,178596.0,0.0,0.0,False
179520.0,732.0,542640.0,3,0,10807.58,15.2,19.0,6.0,0.0,24358.0,89826.0,0.0,0.0,True
215622.0,731.0,1512970.0,9,2,11662.58,17.3,73.0,9.0,0.0,38266.0,351692.0,0.0,0.0,True
44550.0,704.0,1000540.0,9,0,18426.77,15.9,34.0,8.0,0.0,340233.0,459140.0,0.0,0.0,False
225214.0,697.0,849794.0,4,7,8993.46,16.5,7.0,15.0,1.0,173660.0,349690.0,0.0,1.0,False
123244.0,730.0,560196.0,0,2,6348.85,15.8,59.0,12.0,0.0,50179.0,229636.0,0.0,0.0,False
106546.0,701.0,1338322.0,10,0,25093.49,17.9,2.0,15.0,1.0,68514.0,346434.0,1.0,0.0,True
475860.0,720.0,1647794.0,2,1,15104.81,12.5,81.0,9.0,0.0,128953.0,572088.0,0.0,0.0,False
586212.0,706.0,1931369.0,8,0,35891.19,15.7,31.0,9.0,1.0,124849.0,368764.0,1.0,0.0,True
439692.0,742.0,1993613.0,0,0,40370.44,17.4,43.0,6.0,0.0,187416.0,250580.0,0.0,0.0,True
172458.0,718.0,670244.0,2,2,12343.73,17.7,8.0,13.0,0.0,139194.0,426360.0,0.0,0.0,True
349294.0,745.0,1771009.0,8,0,16234.36,14.4,16.0,10.0,0.0,172558.0,356180.0,0.0,0.0,True
543136.0,725.0,1629060.0,10,2,35431.77,13.0,29.0,7.0,0.0,441693.0,860992.0,0.0,0.0,False
144100.0,735.0,1299030.0,2,1,5932.18,17.2,77.0,4.0,0.0,33668.0,229262.0,0.0,0.0,True
296098.0,648.0,789697.0,8,0,15070.04,12.3,49.0,8.0,0.0,53599.0,152504.0,0.0,0.0,False
221210.0,738.0,809457.0,10,0,14637.6,17.1,79.0,5.0,0.0,55442.0,168058.0,0.0,0.0,False
449152.0,712.0,969760.0,2,0,21981.1,21.5,79.0,10.0,0.0,296799.0,446908.0,0.0,0.0,True
111298.0,732.0,1153338.0,6,1,5439.89,14.6,13.0,8.0,0.0,50236.0,293722.0,0.0,0.0,True
95590.0,690.0,1305566.0,3,0,19692.36,17.7,48.0,13.0,2.0,100985.0,200244.0,2.0,0.0,True
444092.0,611.0,1438262.0,8,1,36555.62,16.8,69.0,14.0,0.0,449863.0,1137334.0,0.0,0.0,False
465982.0,610.0,2269968.0,1,0,26672.2,13.5,5.0,14.0,0.0,96447.8,327494.2,0.0,0.0,False
107140.0,722.0,809571.0,2,0,10659.38,8.0,23.0,6.0,0.0,81700.0,156112.0,0.0,0.0,True
215336.0,745.0,1301804.0,10,0,7615.58,20.5,61.0,10.0,1.0,64220.0,594836.0,0.0,0.0,True
364914.0,720.0,1400699.0,1,1,20310.24,17.7,38.0,14.0,0.0,457957.0,845702.0,0.0,0.0,False
115918.0,739.0,2695112.0,10,0,9432.93,22.4,15.0,10.0,0.0,238982.0,404558.0,0.0,0.0,True
442156.0,718.0,1575176.0,0,2,23496.54,15.7,107.0,11.0,0.0,3021.0,158774.0,0.0,0.0,True
265012.0,747.0,4291245.0,10,0,51852.52,15.7,17.0,11.0,0.0,48754.0,161282.0,0.0,0.0,True
301818.0,724.0,651643.0,1,0,14770.22,13.6,2.0,12.0,0.0,127680.0,1173370.0,0.0,0.0,True
353056.0,664.0,1152426.0,1,1,5800.51,16.3,3.0,9.0,0.0,190836.0,736582.0,0.0,0.0,False
109054.0,743.0,998241.0,10,0,20796.64,29.1,7.0,12.0,0.0,641972.0,854420.6,0.0,0.0,True
537680.0,657.0,928720.0,2,0,5015.05,20.9,76.0,9.0,3.0,35207.0,199782.0,3.0,0.0,True
197780.0,702.0,1909310.0,4,1,7255.34,18.7,16.0,9.0,0.0,49039.0,350548.0,0.0,0.0,True
132836.0,694.0,803035.0,4,5,16461.98,13.5,23.0,9.0,0.0,106780.0,128414.0,0.0,0.0,True
45034.0,731.0,1049902.0,6,0,27647.47,19.3,7.0,6.0,0.0,430559.0,991144.0,0.0,0.0,True
260128.0,732.0,1310449.0,10,0,3691.13,15.1,31.0,13.0,0.0,89129.0,1063920.0,0.0,0.0,True
110902.0,683.0,2106929.0,10,0,5899.31,19.0,25.0,5.0,1.0,148694.0,261668.0,1.0,0.0,False
161348.0,745.0,1021915.0,4,0,5850.48,14.7,23.0,8.0,0.0,0.0,0.0,0.0,0.0,True
65890.0,740.0,1062195.0,10,0,12126.56,21.3,24.0,10.0,0.0,167675.0,302896.0,0.0,0.0,True
219208.0,743.0,984447.0,4,0,14848.69,21.3,58.0,8.0,1.0,122512.0,247544.0,1.0,0.0,True
393272.0,616.0,1777754.0,2,0,18814.56,16.5,17.0,10.0,0.0,616018.0,870914.0,0.0,0.0,False
219626.0,727.0,531088.0,3,0,13144.58,16.8,9.0,14.0,1.0,148105.0,441980.0,1.0,0.0,False
60280.0,719.0,818026.0,3,0,12952.11,22.9,15.0,9.0,0.0,49913.0,124828.0,0.0,0.0,True
79134.0,637.0,2847720.0,10,1,10156.83,28.0,37.0,8.0,0.0,104747.0,127512.0,0.0,0.0,False
330506.0,716.0,2283420.0,5,1,22073.06,22.6,41.0,13.0,0.0,231135.0,649594.0,0.0,0.0,False
134134.0,735.0,1044943.0,2,0,9360.92,16.6,15.0,7.0,0.0,250173.0,366674.0,0.0,0.0,True
764390.0,702.0,2829195.0,10,1,42673.62,14.8,9.0,17.0,0.0,180994.0,185460.0,0.0,0.0,False
307604.0,736.0,2884238.0,3,3,1153.68,26.4,4.0,20.0,0.0,34808.0,309966.8,0.0,0.0,True
265452.0,691.0,1528360.0,10,0,7183.33,17.7,70.0,6.0,1.0,142747.0,170390.0,1.0,0.0,False
85250.0,737.0,849623.0,0,4,14139.04,24.7,58.0,13.0,1.0,323342.0,465674.0,0.0,0.0,True
261316.0,724.0,693728.0,5,1,8931.71,14.3,53.0,7.0,0.0,100016.0,224422.0,0.0,0.0,True
629926.0,728.0,3108704.0,4,0,60101.56,25.5,54.0,25.0,0.0,288591.0,1427998.0,0.0,0.0,True
110506.0,741.0,954275.0,6,0,22902.6,14.2,27.0,27.0,0.0,264518.0,417868.0,0.0,0.0,True
107800.0,732.0,949620.0,10,4,1210.87,17.1,15.0,7.0,1.0,19855.0,58190.0,0.0,0.0,False
663432.0,726.0,1772377.0,0,0,24960.87,29.7,43.0,20.0,0.0,273809.0,946374.0,0.0,0.0,False
661914.0,679.0,2080823.0,0,1,25663.49,19.6,66.0,10.0,0.0,102315.0,243738.0,0.0,0.0,False
267454.0,743.0,1020186.0,2,0,17173.34,14.0,72.0,12.0,0.0,153672.0,343486.0,0.0,0.0,True
215402.0,692.0,1190578.0,3,1,13394.05,9.0,31.0,9.0,0.0,32566.0,369776.0,0.0,0.0,True
344036.0,700.0,3157002.0,2,1,10760.27,16.0,9.0,9.0,0.0,91162.0,290774.0,0.0,0.0,False
760760.0,676.0,1689480.0,4,2,11094.29,8.0,9.0,15.0,0.0,289807.0,916828.0,0.0,0.0,False
47498.0,714.0,950969.0,10,2,13868.48,21.7,17.0,4.0,0.0,211432.0,287012.0,0.0,0.0,True
332486.0,746.0,1914250.0,3,0,13367.83,32.8,22.0,12.0,0.0,379126.0,1310364.0,0.0,0.0,True
758230.0,646.0,4303139.0,2,0,33779.72,28.0,9.0,11.0,1.0,153881.0,984434.0,0.0,1.0,False
55880.0,640.0,1679125.0,0,4,7360.22,17.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,True
47520.0,702.0,746016.0,0,0,19893.76,8.8,28.0,7.0,0.0,32908.0,90706.0,0.0,0.0,True
66770.0,726.0,968715.0,4,0,8016.1,38.3,12.0,10.0,0.0,150936.0,753324.0,0.0,0.0,False
134112.0,703.0,2104136.0,10,0,61545.94,24.4,41.0,14.0,3.0,161644.4,246923.6,0.0,3.0,False
182160.0,724.0,1058262.0,10,0,13051.86,18.9,77.0,7.0,1.0,39672.0,52800.0,1.0,0.0,True
328658.0,716.0,1702989.0,9,0,41581.31,12.5,19.0,16.0,0.0,138966.0,317988.0,0.0,0.0,True
66374.0,715.0,1050757.0,10,0,21365.12,18.8,58.0,8.0,0.0,139935.0,265628.0,0.0,0.0,True
223432.0,746.0,1591953.0,2,0,10891.75,24.9,64.0,16.0,0.0,137883.0,355586.0,0.0,0.0,True
259864.0,743.0,935085.0,10,0,20026.38,17.5,32.0,10.0,0.0,191197.0,383042.0,0.0,0.0,True
353518.0,715.0,763268.0,3,2,3549.2,10.8,35.0,7.0,0.0,97166.0,148038.0,0.0,0.0,True
67034.0,692.0,1157898.0,10,1,23621.18,17.7,53.0,8.0,0.0,415796.0,502568.0,0.0,0.0,False
209440.0,686.0,761596.0,2,1,14724.05,23.5,23.0,8.0,0.0,149226.0,204996.0,0.0,0.0,True
142362.0,713.0,1253658.0,4,0,12954.39,16.0,43.0,7.0,0.0,530613.0,758516.0,0.0,0.0,True
779020.0,671.0,2960238.0,10,0,54024.22,26.7,8.0,14.0,0.0,622212.0,749694.0,0.0,0.0,False
328328.0,721.0,1304312.0,10,0,25434.16,24.7,28.0,12.0,0.0,345116.0,591118.0,0.0,0.0,True
772310.0,670.0,4192540.0,10,0,29347.78,19.9,21.0,5.0,0.0,46037.0,207438.0,0.0,0.0,False
157762.0,739.0,1513920.0,10,0,21699.52,13.7,54.0,6.0,0.0,58178.0,175406.0,0.0,0.0,True
270468.0,704.0,572052.0,2,1,9705.77,14.2,59.0,10.0,0.0,180272.0,342188.0,0.0,0.0,True
70400.0,699.0,912095.0,3,5,4750.57,9.9,20.0,4.0,0.0,32870.0,92378.0,0.0,0.0,False
232826.0,739.0,1945923.0,10,1,21891.61,16.8,45.0,8.0,0.0,83866.0,161832.0,0.0,0.0,True
55924.0,737.0,927314.0,0,2,17078.15,14.2,49.0,8.0,0.0,140087.0,308946.0,0.0,0.0,True
646536.0,703.0,1582054.0,10,0,6908.4,25.5,18.0,11.0,0.0,2090.0,241384.0,0.0,0.0,True
125422.0,692.0,1786399.0,2,0,20097.06,17.0,25.0,8.0,3.0,37639.0,223498.0,3.0,0.0,False
115720.0,708.0,452542.0,6,3,6825.75,18.9,16.0,7.0,0.0,100738.0,194414.0,0.0,0.0,False
198836.0,730.0,752780.0,10,3,5721.09,18.7,47.0,9.0,1.0,52478.0,215446.0,1.0,0.0,False
158444.0,737.0,646190.0,3,2,8508.2,15.0,78.0,6.0,0.0,171589.0,330022.0,0.0,0.0,True
216348.0,738.0,1494768.0,10,0,14698.59,19.0,70.0,16.0,0.0,154698.0,408936.0,0.0,0.0,True
569624.0,684.0,1229870.0,6,0,24802.22,27.3,44.0,11.0,0.0,110789.0,253506.0,0.0,0.0,True
214896.0,715.0,1484736.0,10,0,15589.69,22.5,7.0,11.0,0.0,53656.0,212762.0,0.0,0.0,True
92312.0,714.0,1283108.0,4,2,18605.18,18.6,66.0,8.0,0.0,117610.0,340450.0,0.0,0.0,True
340868.0,721.0,811452.0,4,0,9602.03,14.5,73.0,7.0,1.0,35815.0,203302.0,1.0,0.0,False
773014.0,628.0,1907410.0,0,2,6882.56,16.9,39.0,12.0,1.0,41515.0,476036.0,0.0,1.0,False
324368.0,705.0,4855526.0,5,8,57861.65,21.9,24.0,13.0,0.0,87166.3,263522.6,0.0,0.0,False
